source_id,name,type,tier,authority_score,enabled,method,rss_url,notes
leg_r0029,AEI,government,tier1,95.0,True,rss,https://www.aei.org/feed/,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0023,Benton Institute,government,tier1,95.0,True,rss,https://www.benton.org/rss.xml,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0031,Bloomberg Law,government,tier1,95.0,True,rss,https://www.bloomberglaw.com/feed,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0028,Brookings TechTank,government,tier1,95.0,True,rss,https://www.brookings.edu/topic/technology-innovation/feed/,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0025,Federal News Network,government,tier1,95.0,True,rss,https://federalnewsnetwork.com/feed/,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0000,Federal Register - FCC,government,tier1,100.0,True,rss,https://www.federalregister.gov/documents/search.rss?conditions%5Bagencies%5D%5B%5D=federal-communications-commission,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0079,Government Accountability Office,government,tier1,95.0,True,rss,https://www.gao.gov/rss/reports.xml,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0026,GovTech,government,tier1,95.0,True,rss,https://www.govtech.com/rss,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0030,Nextgov,government,tier1,95.0,True,rss,https://www.nextgov.com/rss/all/,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0024,Public Knowledge,government,tier1,95.0,True,rss,https://publicknowledge.org/feed/,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0027,SCOTUSblog,government,tier1,95.0,True,rss,https://www.scotusblog.com/feed/,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
leg_r0085,5G Americas,wire_service,tier2,92.0,True,rss,https://www.5gamericas.org/feed/,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
leg_r0056,ABC News Tech,wire_service,tier2,92.0,True,rss,https://abcnews.go.com/abcnews/technologyheadlines,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
